Water Pollution Search Results,,,,,,,,,,,,,,,,,,,,,,
Search Criteria: Year = 2019; HUC Code = 18060010,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Data Source,NPDES Permit Number,FRS ID,Facility Name,City,County,State,HUC 12 Code,Watershed Name,SIC Code,Facility Latitude,Facility Longitude,Pollutant Name,Substance Registry System ID,CAS Number,Average Daily Flow (MGD),Major/Non-Major Status,Contains Potential Outliers?,Total Pounds (lb/yr),Total Kilograms (kg/yr),Total TWPE (lb-eq/yr),Total TWPE (kg-eq/yr),Link to DFR
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,"Solids, total dissolved",,,3.07,Major,,6863610.769,308862.4846,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,Sulfate,197301,14808798,3.07,Major,,2462497.595,110812.3918,13.78998653,0.620549394,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,Sodium,149856,7440235,3.07,Major,,1415708.032,63706.86146,7.772514688,0.349763161,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,Chloride,205955,16887006,3.07,Major,,1342876.901,60429.46053,32.69613323,1.471325996,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"Solids, total dissolved",,,0.045555556,Non-Major,,92706.99393,4171.814727,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,"Nitrogen, nitrate dissolved",197186,14797558,3.07,Major,,41055.27593,1847.487417,30.65460603,1.379457271,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,Phosphorus,153049,7723140,3.07,Major,,37748.80239,1698.696107,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,"BOD, 5-day, 20 deg. C",,,3.07,Major,,29306.43,1318.78935,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,Oil and grease,,,3.07,Major,,26338.73779,1185.243201,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Sodium,149856,7440235,0.045555556,Non-Major,,20888.10343,939.9646544,0.114679784,0.00516059,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,"Solids, total suspended",,,3.07,Major,,16545.93429,744.5670429,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,Organic Nitrogen,153122,7727379,3.07,Major,,8560.089781,385.2040402,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,Boron,150011,7440428,3.07,Major,,2583.371335,116.2517101,21.54962264,0.969733019,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,Ammonia as N,152389,7664417,3.07,Major,,1818.319765,81.8243894,2.018334939,0.090825072,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0048127,1.1001E+11,LOMPOC WASTEWATER PLANT,LOMPOC,SANTA BARBARA,CA,1.806E+11,San Miguelito Creek-Santa Ynez River,4952,34.66108,-120.48135,"Nitrite nitrogen, dissolved (as N)",197194,14797650,3.07,Major,,692.0315821,31.1414212,2.214501063,0.099652548,https://echo.epa.gov/detailed-facility-report?fid=CA0048127&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Phosphorus,153049,7723140,0.045555556,Non-Major,,393.3851749,17.70233287,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Oil and grease,,,0.045555556,Non-Major,,304.2089663,13.68940348,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"Nitrogen, nitrate dissolved",197186,14797558,0.045555556,Non-Major,,177.1506041,7.971777182,0.132272451,0.00595226,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"BOD, 5-day, 20 deg. C",,,0.045555556,Non-Major,,114.1714286,5.137714286,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"Solids, total suspended",,,0.045555556,Non-Major,,52.956,2.38302,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Total Residual Chlorine,154328,7782505,0.045555556,Non-Major,,19.47938895,0.876572503,9.739694475,0.438286251,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,.beta.-Endosulfan,263996,33213659,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"1,1,2-Trichloroethane",7518,79005,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
