STATION,DATE,PRCP,TMAX,TMIN
USC00041253,1/1/1980,0,21.1,11.7
USC00041253,1/2/1980,0,23.3,5
USC00041253,1/3/1980,0,23.9,5
USC00041253,1/4/1980,0,22.8,8.9
USC00041253,1/5/1980,0,23.3,7.2
USC00041253,1/6/1980,0,23.9,9.4
USC00041253,1/7/1980,1.3,20,9.4
USC00041253,1/8/1980,0,18.9,6.7
USC00041253,1/9/1980,24.9,18.3,11.1
USC00041253,1/10/1980,2.8,15,10
USC00041253,1/11/1980,23.6,14.4,10.6
USC00041253,1/12/1980,10.7,16.7,13.3
USC00041253,1/13/1980,1.5,18.3,13.9
USC00041253,1/14/1980,16.3,18.3,12.8
USC00041253,1/15/1980,6.6,17.2,10
USC00041253,1/16/1980,1,16.1,10.6
USC00041253,1/17/1980,2.3,18.3,10.6
USC00041253,1/18/1980,2.3,15,7.8
USC00041253,1/19/1980,0,13.9,0
USC00041253,1/20/1980,0,16.7,-0.6
USC00041253,1/21/1980,0,18.3,1.7
USC00041253,1/22/1980,0,20,2.2
USC00041253,1/23/1980,0,23.3,5
USC00041253,1/24/1980,0,20.6,5.6
USC00041253,1/25/1980,0,23.9,0.6
USC00041253,1/26/1980,0,20,5
USC00041253,1/27/1980,0,16.7,7.8
USC00041253,1/28/1980,0,15,8.9
USC00041253,1/29/1980,15,13.3,8.9
USC00041253,1/30/1980,0,13.3,1.7
USC00041253,1/31/1980,0,19.4,6.7
USC00041253,2/1/1980,0,20.6,6.1
USC00041253,2/2/1980,0,22.8,7.2
USC00041253,2/3/1980,0,22.2,5.6
USC00041253,2/4/1980,0,21.7,5.6
USC00041253,2/5/1980,0,24.4,8.9
USC00041253,2/6/1980,0,25.6,8.9
USC00041253,2/7/1980,0,25,8.3
USC00041253,2/8/1980,0,18.3,3.3
USC00041253,2/9/1980,0,21.7,6.7
USC00041253,2/10/1980,0,22.2,5
USC00041253,2/11/1980,0,21.7,-0.6
USC00041253,2/12/1980,0,20,1.1
USC00041253,2/13/1980,2.3,18.3,8.9
USC00041253,2/14/1980,8.1,15.6,11.1
USC00041253,2/15/1980,14.7,15,11.7
USC00041253,2/16/1980,37.6,16.7,12.8
USC00041253,2/17/1980,100.3,15.6,11.7
USC00041253,2/18/1980,28.7,16.7,12.8
USC00041253,2/19/1980,41.4,17.2,12.8
USC00041253,2/20/1980,25.7,16.1,7.2
USC00041253,2/21/1980,22.9,13.3,9.4
USC00041253,2/22/1980,0,17.2,4.4
USC00041253,2/23/1980,0,18.3,5
USC00041253,2/24/1980,0,20,7.2
USC00041253,2/25/1980,0,22.2,8.3
USC00041253,2/26/1980,0,24.4,7.8
USC00041253,2/27/1980,0,26.7,11.1
USC00041253,2/28/1980,0.8,22.2,8.9
USC00041253,2/29/1980,0,20,5
USC00041253,3/1/1980,0,21.7,7.8
USC00041253,3/2/1980,0,20,9.4
USC00041253,3/3/1980,49,15,7.2
USC00041253,3/4/1980,0.8,16.1,6.7
USC00041253,3/5/1980,3.3,19.4,7.2
USC00041253,3/6/1980,30.2,12.2,6.7
USC00041253,3/7/1980,0.3,14.4,3.3
USC00041253,3/8/1980,0,17.2,4.4
USC00041253,3/9/1980,0,20,5
USC00041253,3/10/1980,0,21.7,9.4
USC00041253,3/11/1980,0,17.2,6.1
USC00041253,3/12/1980,0,16.1,2.8
USC00041253,3/13/1980,0,20.6,1.1
USC00041253,3/14/1980,0,21.1,2.2
USC00041253,3/15/1980,0,20.6,6.1
USC00041253,3/16/1980,0,20,3.3
USC00041253,3/17/1980,0,22.2,4.4
USC00041253,3/18/1980,0,22.8,6.7
USC00041253,3/19/1980,0.3,15.6,3.3
USC00041253,3/20/1980,0,21.1,2.2
USC00041253,3/21/1980,0,18.9,4.4
USC00041253,3/22/1980,0,16.1,3.3
